"Ticker Symbol","Company Name","Phone Number","Fax Number","Address","Website","Index Membership","Sector","Industry","Full Time Employees"
"DEPO","DepoMed Inc.","650-462-5900","650-462-9993","1360 O'Brien Drive Menlo Park,         CA 94025 United States -","","N/A","Healthcare","Drug Manufacturers - Other","70"
"DSCI","Derma Sciences Inc.","609-514-4744","609-514-0502","214 Carnegie Center Suite 300 Princeton,         NJ 08540","","N/A","Healthcare","Medical Instruments & Supplies","195"
"DEST","Destination Maternity Corporation","215-873-2200","215-873-0869","456 North 5th Street Philadelphia,         PA 19123 United States -","","N/A","Services","Apparel Stores","1,900"
"DSWL","Deswell Industries Inc.","86 85 3283 22096","86 85 3283 23265","17B Edificio Comercial Rodrigues 599 Avenida Da Praia Grande Macao,","","N/A","Consumer Goods","Rubber & Plastics","2,538"
"DXCM","DexCom, Inc.","858-200-0200","858-200-0201","6340 Sequence Drive San Diego,         CA 92121 United States -","","N/A","Healthcare","Medical Instruments & Supplies","405"
"DLLR","DFC Global Corp.","610-296-3400","610-296-7844","1436 Lancaster Avenue Suite 300 Berwyn,         PA 19312","","N/A","Financial","Credit Services","5,375"
"DIAL","Dial Global, Inc.","212-641-2000","","220 West 42nd Street New York,         NY 10036 United States -","","","","",""
"DLGC","Dialogic, Inc.","408-750-9400","408-546-0081","1504 McCarthy Boulevard Milpitas,         CA 95035-7405 United States -","","N/A","Technology","Communication Equipment","935"
"DMND","Diamond Foods, Inc.","415-445-7444","","600 Montgomery Street 13th Floor San Francisco,         CA 94111-2702","","","","",""
"DHFT","Diamond Hill Financial Trends Fund, Inc.","614-255-3333","614-255-3363","325 John H McConnell Boulevard Suite 200 Columbus,         OH 43215","","N/A","Financial","Closed-End Fund - Equity","N/A"
"DHIL","Diamond Hill Investment Group Inc.","614-255-3333","614-255-3363","325 John H McConnell Boulevard Suite 200 Columbus,         OH 43215","","N/A","Financial","Asset Management","77"
"DCIX","Diana Containerships Inc.","30 210 94 70 000","30 210 94 24 975","Pendelis 16 Palaio Faliro Athens,          175 64","","N/A","Services","Shipping","N/A"
"DGII","Digi International Inc.","952-912-3444","952-912-4952","11001 Bren Road East Minnetonka,         MN 55343 United States -","","N/A","Technology","Networking & Communication Devices","691"
"DMRC","Digimarc Corporation","503-469-4800","","9405 SW Gemini Drive Beaverton,         OR 97008 United States -","","","","",""
"DRAD","Digirad Corporation","858-726-1600","858-726-1700","13950 Stowe Drive Poway,         CA 92064-8803 United States -","","N/A","Healthcare","Medical Appliances & Equipment","349"
"DGLY","Digital Ally Inc.","913-814-7774","913-814-7775","8000 West 110th Street Suite 200 Overland Park,         KS 66210","","N/A","Technology","Scientific & Technical Instruments","99"
"DGIT","Digital Generation, Inc.","972-581-2000","972-581-2001","750 West John Carpenter Freeway Suite 700 Irving,         TX 75039","","N/A","Technology","Networking & Communication Devices","897"
"DRIV","Digital River Inc.","952-253-1234","952-253-8497","9625 West 76th Street Eden Prairie,         MN 55344 United States -","","N/A","Technology","Internet Software & Services","1,280"
"DCOM","Dime Community Bancshares Inc.","718-782-6200","718-486-8793","209 Havemeyer Street Brooklyn,         NY 11211 United States -","","N/A","Financial","Savings & Loans","365"
"DIOD","Diodes Incorporated","972-385-2810","805-446-4850","15660 North Dallas Parkway Suite 850 Dallas,         TX 75248","","N/A","Technology","Semiconductor - Integrated Circuits","3,986"
"DTV","DIRECTV, Inc.","310-535-5000","310-535-5225","2230 East Imperial Highway El Segundo,         CA 90245 United States -","","Nasdaq 100","Services","CATV Systems","23,200"
"DISCA","Discovery Communications, Inc.","240-662-2000","240-662-1868","One Discovery Place Silver Spring,         MD 20910 United States -","","N/A","Services","CATV Systems","4,200"
"DISCB","Discovery Communications, Inc.","240-662-2000","240-662-1868","One Discovery Place Silver Spring,         MD 20910 United States -","","N/A","N/A","N/A","4,200"
"DISCK","Discovery Communications, Inc.","240-662-2000","240-662-1868","One Discovery Place Silver Spring,         MD 20910 United States -","","N/A","N/A","N/A","4,200"
"DSCO","Discovery Laboratories Inc.","215-488-9300","215-488-9301","2600 Kelly Road Suite 100 Warrington,         PA 18976-3622","","N/A","Healthcare","Biotechnology","67"
"DISH","Dish Network Corp.","303-723-1000","303-723-1499","9601 South Meridian Boulevard Englewood,         CO 80112 United States -","","N/A","Services","CATV Systems","22,000"
"DITC","Ditech Networks, Inc.","650-623-1300","650-564-9599","825 East Middlefield Road Mountain View,         CA 94043 United States -","","N/A","Technology","Communication Equipment","73"
"DNBF","DNB Financial Corp.","484-691-3621","484-359-3176","4 Brandywine Avenue Downingtown,         PA 19335 United States -","","N/A","Financial","Regional - Pacific Banks","111"
"DLTR","Dollar Tree, Inc.","757-321-5000","757-855-5555","500 Volvo Parkway Chesapeake,         VA 23320 United States -","","Nasdaq 100","Services","Discount, Variety Stores","13,060"
"DGICA","Donegal Group Inc.","800-877-0600","","1195 River Road PO Box 302 Marietta,         PA 17547","","","","",""
"DGICB","Donegal Group Inc.","800-877-0600","","1195 River Road PO Box 302 Marietta,         PA 17547","","","","",""
"DMLP","Dorchester Minerals LP","214-559-0300","","3838 Oak Lawn Avenue Suite 300 Dallas,         TX 75219","","","","",""
"DORM","Dorman Products, Inc.","215-997-1800","215-997-1741","3400 East Walnut Street Colmar,         PA 18915 United States -","","N/A","Consumer Goods","Auto Parts","1,170"
"HILL","Dot Hill Systems Corp.","303-845-3200","303-845-3365","1351 South Sunset Street Suite 100 Longmont,         CO 80501-6533","","N/A","Technology","Data Storage Devices","293"
"DBLE","Double Eagle Petroleum Co.","303-794-8445","303-794-8451","1675 Broadway Suite 2200 Denver,         CO 80202","","N/A","Basic Materials","Independent Oil & Gas","24"
"DBLEP","","","","","","","","",""
"DOVR","Dover Saddlery, Inc.","978-952-8062","","525 Great Road PO Box 1100 Littleton,         MA 01460","","","","",""
"DRWI","DragonWave Inc.","613-599-9991","613-599-4265","411 Legget Drive Suite 600 Ottawa,         ON K2K 3C9","","N/A","Technology","Communication Equipment","278"
"DWA","DreamWorks Animation SKG Inc.","818-695-5000","818-695-3510","Campanile Building 1000 Flower Street Glendale,         CA 91201","","N/A","Services","Movie Production, Theaters","2,100"
"DRYS","DryShips, Inc.","30 210 80 90 570","30 210 80 90 585","80 Kifissias Avenue Marousi Athens,          151 25","","N/A","Services","Shipping","574"
"DSPG","DSP Group Inc.","408-986-4300","408-986-4323","2580 North First Street Suite 460 San Jose,         CA 95131","","N/A","Technology","Communication Equipment","395"
"DTSI","DTS Inc.","818-436-1000","818-436-1999","5220 Las Virgenes Road Calabasas,         CA 91302 United States -","","N/A","Technology","Application Software","228"
"DUCK","Duckwall-ALCO Stores Inc.","785-263-3350","785-263-7531","401 Cottage Street Abilene,         KS 67410-2832 United States -","","N/A","Services","Discount, Variety Stores","3,460"
"DNKN","Dunkin' Brands Group, Inc.","781-737-3000","781-737-4000","130 Royall Street Canton,         MA 02021 United States -","","N/A","Services","Restaurants","1,130"
"DRRX","DURECT Corporation","408-777-1417","408-777-3577","2 Results Way Cupertino,         CA 95014 United States -","","N/A","Healthcare","Drug Manufacturers - Other","125"
"DUSA","DUSA Pharmaceuticals Inc.","978-657-7500","978-657-9193","25 Upton Drive Wilmington,         MA 01887 United States -","","N/A","Healthcare","Drug Manufacturers - Other","93"
"DXPE","DXP Enterprises, Inc.","713-996-4700","713-996-4701","7272 Pinemont Houston,         TX 77040 United States -","","N/A","Services","Industrial Equipment Wholesale","1,772"
"DYAX","Dyax Corp.","617-225-2500","617-225-2501","300 Technology Square Cambridge,         MA 02139 United States -","","N/A","Healthcare","Biotechnology","137"
"DYII","Dynacq Healthcare Inc.","713-378-2000","","4301 Vista Road Pasadena,         TX 77504 United States -","","","","",""
"BOOM","Dynamic Materials Corp.","303-665-5700","303-604-1897","5405 Spine Road Boulder,         CO 80301 United States -","","N/A","Industrial Goods","Metal Fabrication","433"
"DRCO","Dynamics Research Corp.","978-289-1500","978-289-1887","Two Tech Drive Andover,         MA 01810-2434 United States -","","N/A","Technology","Business Software & Services","1,300"
"DYSL","Dynasil Corporation of America","617-668-6855","617-668-6890","50 Hunt Street Watertown,         MA 02472 United States -","","N/A","Technology","Scientific & Technical Instruments","221"
"DYNT","Dynatronics Corp.","801-568-7000","801-568-7711","7030 Park Centre Drive Salt Lake City,         UT 84121 United States -","","N/A","Healthcare","Medical Appliances & Equipment","153"
"DVAX","Dynavax Technologies Corporation","510-848-5100","510-848-1327","2929 Seventh Street Suite 100 Berkeley,         CA 94710-2753","","N/A","Healthcare","Drug Manufacturers - Other","128"
"DVOX","Dynavox Inc.","412-381-4883","412-381-5241","2100 Wharton Street Suite 400 Pittsburgh,         PA 15203","","N/A","Technology","Application Software","437"
"ETFC","E*TRADE Financial Corporation","646-521-4300","212-826-2803","1271 Avenue of the Americas 14th Floor New York,         NY 10020-1302","","N/A","Financial","Investment Brokerage - National","2,962"
"EBMT","Eagle Bancorp Montana, Inc.","406-442-3080","406-457-4035","1400 Prospect Avenue Helena,         MT 59601 United States -","","N/A","Financial","Regional - Pacific Banks","77"
"EGBN","Eagle Bancorp, Inc.","301-986-1800","301-986-8529","7815 Woodmont Avenue Bethesda,         MD 20814 United States -","","N/A","Financial","Regional - Mid-Atlantic Banks","325"
"EGLE","Eagle Bulk Shipping, Inc.","212-785-2500","212-785-3311","477 Madison Avenue Suite 1405 New York,         NY 10022","","N/A","Services","Shipping","800"
"EROC","Eagle Rock Energy Partners, L.P.","281-408-1200","281-408-1399","1415 Louisiana Street Suite 2700 Houston,         TX 77002","","N/A","Basic Materials","Oil & Gas Refining & Marketing","367"
"EROCW","","","","","","","","",""
"ELNK","EarthLink Inc.","404-815-0770","404-815-8805","1375 Peachtree Street Atlanta,         GA 30309 United States -","","N/A","Technology","Internet Service Providers","1,870"
"EWBC","East West Bancorp, Inc.","626-768-6000","626-817-8838","135 North Los Robles Avenue 7th Floor Pasadena,         CA 91101","","N/A","Financial","Regional - Pacific Banks","2,080"
"EML","Eastern Co.","203-729-2255","203-723-8653","112 Bridge Street PO Box 460 Naugatuck,         CT 06770","","N/A","Industrial Goods","Small Tools & Accessories","633"
"EIHI","Eastern Insurance Holdings, Inc.","717-396-7095","","25 Race Avenue Lancaster,         PA 17603 United States -","","","","",""
"EVBS","Eastern Virginia Bankshares Inc.","804-443-8460","804-445-1047","330 Hospital Road Tappahannock,         VA 22560 United States -","","N/A","Financial","Regional - Southeast Banks","314"
"ESIC","EasyLink Services International Corporation","678-533-8000","770-246-4697","6025 The Corners Parkway Suite 100 Norcross,         GA 30092","","N/A","Technology","Internet Service Providers","541"
"EBAY","eBay Inc.","408-376-7400","408-516-8811","2145 Hamilton Avenue San Jose,         CA 95125 United States -","","Nasdaq 100","Services","Catalog & Mail Order Houses","17,700"
"EBIX","Ebix Inc.","678-281-2020","678-281-2019","5 Concourse Parkway Suite 3200 Atlanta,         GA 30328","","N/A","Technology","Business Software & Services","1,179"
"ELON","Echelon Corporation","408-938-5200","408-790-3800","550 Meridian Avenue San Jose,         CA 95126 United States -","","N/A","Technology","Networking & Communication Devices","318"
"ECHO","Echo Global Logistics, Inc.","800-354-7993","888-796-4445","600 West Chicago Avenue Suite 725 Chicago,         IL 60654","","N/A","Services","Trucking","709"
"ECTE","Echo Therapeutics, Inc.","215-717-4100","215-717-4109","8 Penn Center 1628 JFK Boulevard Philadelphia,         PA 19103","","N/A","Healthcare","Drug Manufacturers - Major","11"
"SATS","EchoStar Corp.","303-706-4000","303-706-5590","100 Inverness Terrace East Englewood,         CO 80112 United States -","","N/A","Technology","Communication Equipment","2,300"
"EEI","Ecology & Environment, Inc.","716-684-8060","716-684-0844","368 Pleasant View Drive Lancaster,         NY 14086 United States -","","N/A","Industrial Goods","Waste Management","1,140"
"ECTY","ECOtality, Inc.","480-219-5005","480-219-5338","Four Embarcadero Center Suite 3720 San Francisco,         CA 94111","","N/A","Industrial Goods","Diversified Machinery","177"
"EDAC","Edac Technologies Corp.","860-677-2603","860-674-2718","1806 New Britain Avenue Farmington,         CT 06032 United States -","","N/A","Industrial Goods","Aerospace/Defense Products & Services","384"
"EDAP","EDAP TMS SA","33 4 72 15 31 50","33 4 72 15 31 51","4/6 Rue Du Dauphine Vaulx-en-Velin,          69120 France -","","N/A","Healthcare","Medical Appliances & Equipment","151"
"EF","The Edelman Financial Group, Inc.","713-993-4610","713-224-1101","5800 JP Morgan Chase Tower 600 Travis Houston,         TX 77002","","N/A","Financial","Asset Management","529"
"EDGR","EDGAR Online Inc.","301-287-0300","301-287-0390","11200 Rockville Pike Suite 310 Rockville,         MD 20852","","N/A","Services","Business Services","143"
"EDGW","Edgewater Technology Inc.","781-246-3343","781-246-5903","20 Harvard Mill Square Wakefield,         MA 01880 United States -","","N/A","Technology","Information Technology Services","380"
"EDMC","Education Management Corporation","412-562-0900","412-562-0598","210 Sixth Avenue 33rd Floor Pittsburgh,         PA 15222","","N/A","Services","Education & Training Services","14,500"
"EDUC","Educational Development Corp.","918-622-4522","918-665-7919","10302 East 55th Place Tulsa,         OK 74146-6515 United States -","","N/A","Services","Wholesale, Other","70"
"EFUT","e-Future Information Technology Inc.","86 10 5165 0988","86 10 5298 7688","8th Floor TopNew Tower 2 15 Guanghua Road Chaoyang District Beijing,          100026","","N/A","Technology","Application Software","740"
"EGAN","eGain Communications Corp.","650-230-7500","650-230-7600","345 East Middlefield Road Mountain View,         CA 94043 United States -","","N/A","Technology","Business Software & Services","321"
"EHTH","eHealth, Inc.","650-584-2700","650-961-2153","440 East Middlefield Road Mountain View,         CA 94043 United States -","","N/A","Financial","Insurance Brokers","641"
"BAGL","Einstein Noah Restaurant Group, Inc.","303-568-8000","303-568-8039","555 Zang Street Suite 300 Lakewood,         CO 80228","","N/A","Services","Restaurants","6,796"
"EMITF","Elbit Imaging Ltd.","972 3 608 6000","972 3 608 6054","Europe Israel Tower 2 Weitzman Street Tel Aviv,          64239","","N/A","N/A","N/A","N/A"
"ESLT","Elbit Systems Ltd.","972 4 831 6404","972 4 831 6944","Advanced Technology Center PO Box 539 Haifa,          31053","","N/A","N/A","N/A","12,317"
"ESYS","Elecsys Corporation","913-647-0158","913-647-0132","846 North Mart-Way Court Olathe,         KS 66061 United States -","","N/A","Consumer Goods","Electronic Equipment","128"
"ELRC","Electro Rent Corp.","818-787-2100","818-786-4354","6060 Sepulveda Boulevard Van Nuys,         CA 91411-2512 United States -","","N/A","Services","Rental & Leasing Services","371"
"ESIO","Electro Scientific Industries Inc.","503-641-4141","503-671-5551","13900 NW Science Park Drive Portland,         OR 97229-5497 United States -","","N/A","Industrial Goods","Industrial Electrical Equipment","648"
"EA","Electronic Arts Inc.","650-628-1500","650-628-1422","209 Redwood Shores Parkway Redwood City,         CA 94065 United States -","","Nasdaq 100","Technology","Multimedia & Graphics Software","7,600"
"EFII","Electronics for Imaging, Inc.","650-357-3500","650-357-3907","303 Velocity Way Foster City,         CA 94404 United States -","","N/A","Technology","Computer Peripherals","1,886"
"ELSE","Electro-Sensors Inc.","952-930-0100","952-930-0130","6111 Blue Circle Drive Minnetonka,         MN 55343-9108 United States -","","N/A","Technology","Scientific & Technical Instruments","30"
"RDEN","Elizabeth Arden, Inc.","954-364-6900","954-364-6910","2400 SW 145th Avenue 2nd Floor Miramar,         FL 33027","","N/A","Consumer Goods","Personal Products","2,260"
"LONG","eLong Inc.","86 10 5860 2288","86 10 6436 6019","10 Middle Jiuxianqiao Road Block B Xingke Plaza Building Beijing,          100015","","N/A","Services","Personal Services","1,860"
"ELTK","Eltek Ltd.","972 3 939 5050","972 3 930 9581","Sgoola Industrial Zone PO Box 159 Petach Tikva,          49101","","N/A","Technology","Printed Circuit Boards","353"
"EMCI","EMC Insurance Group Inc.","515-345-2515","515-345-2895","717 Mulberry Street Des Moines,         IA 50309 United States -","","N/A","Financial","Property & Casualty Insurance","N/A"
"EMCF","Emclaire Financial Corp.","724-867-2311","724-867-1007","612 Main Street Emlenton,         PA 16373-0046 United States -","","N/A","Financial","Regional - Northeast Banks","115"
"EMKR","EMCORE Corporation","505-332-5000","505-332-5038","10420 Research Road SE Building 1 Albuquerque,         NM 87123","","N/A","Technology","Semiconductor - Integrated Circuits","1,000"
"EMMS","Emmis Communications Corp.","317-266-0100","317-631-3750","40 Monument Circle One Emmis Plaza Indianapolis,         IN 46204","","N/A","Services","Broadcasting - Radio","870"
"EMMSP","Emmis Communications Corp.","317-266-0100","317-631-3750","40 Monument Circle One Emmis Plaza Indianapolis,         IN 46204","","N/A","N/A","N/A","870"
"NYNYD","Empire Resorts Inc.","845-807-0001","845-807-0072","204 Route 17B Monticello,         NY 12701 United States -","","N/A","Services","Resorts & Casinos","310"
"EBTX","Encore Bancshares, Inc.","713-787-3100","713-267-7789","Nine Greenway Plaza Suite 1000 Houston,         TX 77046","","N/A","Financial","Regional - Southwest  Banks","315"
"ECPG","Encore Capital Group, Inc.","858-560-2600","858-309-6978","8875 Aero Drive Suite 200 San Diego,         CA 92123","","N/A","Financial","Credit Services","2,266"
"WIRE","Encore Wire Corp.","972-562-9473","972-562-3644","1329 Millwood Road Mckinney,         TX 75069 United States -","","N/A","Technology","Diversified Electronics","737"
"ENDP","Endo Pharmaceuticals Holdings Inc.","610-558-9800","610-558-8979","100 Endo Boulevard Chadds Ford,         PA 19317 United States -","","N/A","Healthcare","Drug Manufacturers - Other","2,947"
"ECYT","Endocyte, Inc.","765-463-7175","765-463-9271","3000 Kent Avenue Suite A1-100 West Lafayette,         IN 47906","","N/A","Healthcare","Drug Manufacturers - Major","55"
"ELGX","Endologix Inc.","949-595-7200","949-457-9561","11 Studebaker Irvine,         CA 92618 United States -","","N/A","Healthcare","Medical Instruments & Supplies","297"
"ENER","Energy Conversion Devices, Inc.","248-293-0440","248-364-5678","3800 Lapeer Road Auburn Hills,         MI 48326 United States -","","N/A","Technology","Semiconductor - Specialized","1,300"
"ERII","Energy Recovery, Inc.","510-483-7370","510-483-7371","1717 Doolittle Drive San Leandro,         CA 94577 United States -","","N/A","Industrial Goods","Pollution & Treatment Controls","73"
"EXXI","Energy XXI (Bermuda) Limited","441-295-2244","","Canons Court 22 Victoria Street Hamilton,          HM EX","","","","",""
"ENOC","EnerNOC, Inc.","617-224-9900","617-224-9910","101 Federal Street Suite 1100 Boston,         MA 02110","","N/A","Services","Business Services","587"
"ENG","ENGlobal Corp.","281-878-1000","281-878-1010","654 North Sam Houston Parkway East Suite 400 Houston,         TX 77060-5914","","N/A","Services","Technical Services","2,030"
"ESGR","Enstar Group Limited","441-292-3645","441-296-0895","Windsor Place, 3rd Floor PO Box HM 2267, 18 Queen Street Hamilton,          HM JX","","N/A","Financial","Property & Casualty Insurance","360"
"ENTG","Entegris, Inc.","978-436-6500","978-436-6735","129 Concord Road Billerica,         MA 01821 United States -","","N/A","Technology","Semiconductor Equipment & Materials","2,600"
"ETRM","EnteroMedics, Inc.","651-634-3003","","2800 Patton Road St Paul,         MN 55113 United States -","","","","",""
"EBTC","Enterprise Bancorp Inc.","978-459-9000","508-441-9083","222 Merrimack Street Lowell,         MA 01852 United States -","","N/A","Financial","Savings & Loans","333"
"EFSC","Enterprise Financial Services Corp.","314-725-5500","314-812-4025","150 North Meramec Avenue Suite 300 St Louis,         MO 63105","","N/A","Financial","Regional - Southwest  Banks","331"
"ENMD","EntreMed Inc.","240-864-2600","240-864-2601","9640 Medical Center Drive Rockville,         MD 20850 United States -","","N/A","Healthcare","Biotechnology","12"
"ENTR","Entropic Communications, Inc.","858-768-3600","858-768-3601","6290 Sequence Drive San Diego,         CA 92121 United States -","","N/A","Technology","Semiconductor - Broad Line","300"
"ENZN","Enzon Pharmaceuticals Inc.","732-980-4500","732-980-4585","20 Kingsbridge Road Piscataway,         NJ 08854 United States -","","N/A","Healthcare","Biotechnology","126"
"EONC","eOn Communications Corp.","800-955-5321","662-287-3889","1703 Sawyer Road Corinth,         MS 38829 United States -","","N/A","Technology","Telecom Services - Domestic","86"
"EOSPN","","","","","","","","",""
"EPIQ","EPIQ Systems, Inc.","913-621-9500","913-321-1243","501 Kansas Avenue Kansas City,         KS 66105-1309 United States -","","N/A","Technology","Information Technology Services","550"
"PLUS","ePlus Inc.","703-984-8400","703-984-8600","13595 Dulles Technology Drive Herndon,         VA 20171-3413 United States -","","N/A","Technology","Business Software & Services","705"
"EPHC","Epoch Investment Partners, Inc.","212-303-7200","212-202-4948","640 Fifth Avenue 18th floor New York,         NY 10019","","N/A","Financial","Asset Management","57"
"EPOC","Epocrates, Inc.","650-227-1700","650-227-2770","1100 Park Place Suite 300 San Mateo,         CA 94403","","N/A","Healthcare","Medical Appliances & Equipment","312"
"EQIX","Equinix, Inc.","650-598-6000","650-598-6900","One Lagoon Drive 4th Floor Redwood City,         CA 94065","","N/A","Technology","Telecom Services - Domestic","1,921"
"ERT","eResearchTechnology, Inc.","215-972-0420","215-972-0414","1818 Market Street Suite 1000 Philadelphia,         PA 19103-3638","","N/A","Healthcare","Medical Laboratories & Research","618"
"ERIE","Erie Indemnity Co.","814-870-2000","814-870-4040","100 Erie Insurance Place Erie,         PA 16530 United States -","","N/A","Financial","Insurance Brokers","4,200"
"ESBF","ESB Financial Corp.","724-758-5584","724-758-0576","600 Lawrence Avenue Ellwood City,         PA 16117 United States -","","N/A","Financial","Savings & Loans","230"
"ESCA","Escalade Inc.","812-467-4449","812-467-1303","817 Maxwell Avenue Evansville,         IN 47711 United States -","","N/A","Consumer Goods","Sporting Goods","608"
"ESMC","Escalon Medical Corp.","610-688-6830","610-688-3641","435 Devon Park Drive Building 100 Wayne,         PA 19087","","N/A","Healthcare","Medical Appliances & Equipment","158"
"ESSA","Essa Bancorp, Inc.","570-421-0531","","200 Palmer Street PO Box L Stroudsburg,         PA 18360-0160","","","","",""
"ESSX","Essex Rental Corp.","847-215-6500","847-215-6535","1110 West Lake Cook Road Suite 220 Buffalo Grove,         IL 60089-1974","","N/A","Services","Rental & Leasing Services","273"
"CLWT","Euro Tech Holdings Co. Ltd.","852 2814 0311","852 2870 0479","18th Floor Gee Chang Hong Centre 65 Wong Chuk Hang Road Hong Kong,","","N/A","Industrial Goods","Pollution & Treatment Controls","188"
"EEFT","Euronet Worldwide Inc.","913-327-4200","913-327-1921","3500 College Boulevard Leawood,         KS 66211 United States -","","N/A","Services","Business Services","3,100"
"ESEA","Euroseas, Ltd.","30 21 1180 4005","30 21 1180 4097","4 Messogiou &amp; Evropis Street Maroussi,          151 25 Greece -","","N/A","Services","Shipping","N/A"
"EVEP","EV Energy Partners LP","713-651-1144","713-651-1260","1001 Fannin Street Suite 800 Houston,         TX 77002","","N/A","Basic Materials","Oil & Gas Drilling & Exploration","N/A"
"EVOL","Evolving Systems Inc.","303-802-1000","303-802-1420","9777 Mount Pyramid Court Suite 100 Englewood,         CO 80112","","N/A","Technology","Technical & System Software","248"
"EXAS","Exact Sciences Corporation","608-284-5700","608-284-5701","441 Charmany Drive Madison,         WI 53719 United States -","","N/A","Healthcare","Biotechnology","35"
"EXAC","Exactech Inc.","352-377-1140","352-378-2617","2320 NW 66th Court Gainesville,         FL 32653 United States -","","N/A","Healthcare","Medical Appliances & Equipment","553"
"EXAR","Exar Corp.","510-668-7000","510-668-7017","48720 Kato Road Fremont,         CA 94538 United States -","","N/A","Technology","Semiconductor - Integrated Circuits","477"
"EDS","Exceed Company Ltd.","852 3669 8105","","Suite 8 20th Floor One International Finance Centre Central,","","","","",""
"EXEL","Exelixis, Inc.","650-837-7000","650-837-8300","210 East Grand Avenue South San Francisco,         CA 94080 United States -","","N/A","Healthcare","Biotechnology","383"
"EXFO","EXFO Inc","418-683-0211","418-681-3936","400 Godin Avenue Quebec,         QC G1M 2K2 Canada -","","N/A","N/A","N/A","1,752"
"XIDE","Exide Technologies","678-566-9000","678-566-9188","13000 Deerfield Parkway Building 200 Milton,         GA 30004","","N/A","Industrial Goods","Industrial Electrical Equipment","10,027"
"EXLS","Exlservice Holdings, Inc.","212-277-7100","212-277-7111","280 Park Avenue 38th Floor New York,         NY 10017","","N/A","Services","Business Services","12,700"
"EXPE","Expedia Inc.","425-679-7200","425-679-7240","333 108th Avenue NE Bellevue,         WA 98004 United States -","","Nasdaq 100","Services","Lodging","8,900"
"EXPD","Expeditors International of Washington Inc.","206-674-3400","206-439-5114","1015 Third Avenue 12th Floor Seattle,         WA 98104","","Dow Jones CompositeDow TransportationNasdaq 100","Services","Air Delivery & Freight Services","12,880"
"EXPO","Exponent Inc.","650-326-9400","650-326-8072","149 Commonwealth Drive Menlo Park,         CA 94025 United States -","","N/A","Services","Management Services","901"
"ESRX","Express Scripts Inc.","314-996-0900","","One Express Way St. Louis,         MO 63121 United States -","","","","",""
"EXLP","Exterran Partners, L.P.","281-836-7000","","16666 Northchase Drive Houston,         TX 77060 United States -","","","","",""
"EXTR","Extreme Networks Inc.","408-579-2800","408-579-3000","3585 Monroe Street Santa Clara,         CA 95051 United States -","","N/A","Technology","Networking & Communication Devices","732"
"EZCH","EZchip Semiconductor Ltd.","972 4 959 6666","972 4 959 4166","1 Hatamar Street PO Box 527 Yokneam,          20692","","N/A","Technology","Semiconductor Equipment & Materials","143"
"EZPW","EZCORP, Inc.","512-314-3400","512-314-3404","1901 Capital Parkway Austin,         TX 78746 United States -","","N/A","Services","Specialty Retail, Other","5,600"
"FFIV","F5 Networks, Inc.","206-272-5555","206-272-5556","401 Elliott Avenue West Seattle,         WA 98119 United States -","","Nasdaq 100","Technology","Application Software","2,488"
"FRP","Fairpoint Communications, Inc.","704-344-8150","704-344-8121","521 East Morehead Street Suite 500 Charlotte,         NC 28202","","N/A","Technology","Telecom Services - Domestic","4,032"
"FALC","Falconstor Software Inc.","631-777-5188","631-501-7633","2 Huntington Quadrangle Suite 2S01 Melville,         NY 11747","","N/A","Technology","Application Software","488"
"DAVE","Famous Dave's of America Inc.","952-294-1300","952-294-1301","12701 Whitewater Drive Suite 200 Minnetonka,         MN 55343","","N/A","Services","Restaurants","340"
"FARM","Farmer Brothers Co.","310-787-5200","310-787-5246","20333 South Normandie Avenue Torrance,         CA 90502 United States -","","N/A","Consumer Goods","Processed & Packaged Goods","1,820"
"FFKT","Farmers Capital Bank Corp.","502-227-1600","502-227-1692","202 West Main Street PO Box 309 Frankfort,         KY 40601","","N/A","Financial","Regional - Southeast Banks","513"
"FMNB","Farmers National Banc Corp.","330-533-3341","","20 South Broad Street PO Box 555 Canfield,         OH 44406-0555","","","","",""
"FARO","FARO Technologies Inc.","407-333-9911","407-333-4181","250 Technology Park Lake Mary,         FL 32746 United States -","","N/A","Technology","Scientific & Technical Instruments","781"
"FAST","Fastenal Company","507-454-5374","507-453-8049","2001 Theurer Blvd Winona,         MN 55987-1500 United States -","","Nasdaq 100","Industrial Goods","General Building Materials","12,703"
"FBSS","Fauquier Bankshares Inc.","540-347-2700","540-349-2093","10 Courthouse Square Warrenton,         VA 20186 United States -","","N/A","Financial","Regional - Southeast Banks","162"
"FBRC","FBR & Co.","703-312-9500","703-312-9501","1001 Nineteenth Street North Arlington,         VA 22209 United States -","","N/A","Financial","Asset Management","501"
"FDML","Federal-Mogul Corp.","248-354-7700","248-354-8648","26555 Northwestern Highway Southfield,         MI 48033 United States -","","N/A","Consumer Goods","Auto Parts","42,700"
"FFCO","FedFirst Financial Corp.","724-684-6800","724-684-4851","565 Donner Avenue Monessen,         PA 15062 United States -","","N/A","Financial","Savings & Loans","90"
"FEIC","FEI Company","503-726-7500","503-726-2767","5350 NE Dawson Creek Drive Hillsboro,         OR 97124-5793 United States -","","N/A","Technology","Scientific & Technical Instruments","1,788"
"FHCO","The Female Health Company","312-595-9123","312-595-9122","515 North State Street Suite 2225 Chicago,         IL 60654","","N/A","Consumer Goods","Personal Products","52"
